land,date,driving,walking,transit,confirmed,dead,iso_code,confirmed_change,confirmed_active_cases,confirmed_active_cases_change,confirmed_peak_date,population_100k,confirmed_per_100k,confirmed_change_per_100k,confirmed_active_cases_per_100k,dead_change,dead_doubling_days,lethality,dead_per_100k,dead_change_per_100k
Baden-Wuerttemberg,2020-03-04,105.2,,,50,0,BW,,,,-1,110.7,0.45,,,,0.0,,0.0,
Baden-Wuerttemberg,2020-03-05,108.75,,,73,0,BW,23.0,,,0,110.7,0.66,0.21,,0.0,0.0,,0.0,0.0
Baden-Wuerttemberg,2020-03-06,119.53,,,96,0,BW,23.0,,,0,110.7,0.87,0.21,,0.0,0.0,,0.0,0.0
Baden-Wuerttemberg,2020-03-07,114.63,,,170,0,BW,74.0,,,0,110.7,1.54,0.67,,0.0,0.0,,0.0,0.0
Baden-Wuerttemberg,2020-03-08,109.06,,,182,0,BW,12.0,,,0,110.7,1.64,0.11,,0.0,0.0,,0.0,0.0
Baden-Wuerttemberg,2020-03-09,101.73,,,204,0,BW,22.0,,,0,110.7,1.84,0.2,,0.0,0.0,,0.0,0.0
Baden-Wuerttemberg,2020-03-10,100.67,,,237,0,BW,33.0,,,0,110.7,2.14,0.3,,0.0,0.0,,0.0,0.0
Baden-Wuerttemberg,2020-03-11,98.55,,,277,0,BW,40.0,,,0,110.7,2.5,0.36,,0.0,0.0,,0.0,0.0
Baden-Wuerttemberg,2020-03-12,89.67,,,454,0,BW,177.0,,,0,110.7,4.1,1.6,,0.0,0.0,,0.0,0.0
Baden-Wuerttemberg,2020-03-13,87.16,,,454,0,BW,0.0,,,0,110.7,4.1,0.0,,0.0,0.0,,0.0,0.0
Baden-Wuerttemberg,2020-03-14,76.33,,,569,0,BW,115.0,,,0,110.7,5.14,1.04,,0.0,0.0,,0.0,0.0
Baden-Wuerttemberg,2020-03-15,74.11,,,827,0,BW,258.0,,,0,110.7,7.47,2.33,,0.0,0.0,,0.0,0.0
Baden-Wuerttemberg,2020-03-16,68.28,,,1105,0,BW,278.0,1055.0,,0,110.7,9.98,2.51,9.53,0.0,0.0,,0.0,0.0
Baden-Wuerttemberg,2020-03-17,62.66,,,1479,2,BW,374.0,1406.0,351.0,0,110.7,13.36,3.38,12.7,2.0,0.0,,0.02,0.02
Baden-Wuerttemberg,2020-03-18,57.83,,,1609,2,BW,130.0,1513.0,107.0,0,110.7,14.54,1.17,13.67,0.0,100.0,,0.02,0.0
Baden-Wuerttemberg,2020-03-19,54.73,,,2155,6,BW,546.0,1985.0,472.0,0,110.7,19.47,4.93,17.93,4.0,0.13,,0.05,0.04
Baden-Wuerttemberg,2020-03-20,50.54,,,2746,10,BW,591.0,2564.0,579.0,0,110.7,24.81,5.34,23.16,4.0,0.16,,0.09,0.04
Baden-Wuerttemberg,2020-03-21,35.21,,,3668,16,BW,922.0,3464.0,900.0,0,110.7,33.14,8.33,31.29,6.0,0.17,,0.14,0.05
Baden-Wuerttemberg,2020-03-22,37.72,,,3807,21,BW,139.0,3570.0,106.0,0,110.7,34.39,1.26,32.25,5.0,0.2,,0.19,0.05
Baden-Wuerttemberg,2020-03-23,43.21,,,3811,21,BW,4.0,3534.0,-36.0,0,110.7,34.43,0.04,31.93,0.0,100.0,,0.19,0.0
Baden-Wuerttemberg,2020-03-24,43.39,,,5348,30,BW,1537.0,4894.0,1360.0,0,110.7,48.31,13.88,44.21,9.0,0.18,,0.27,0.08
Baden-Wuerttemberg,2020-03-25,44.61,,,6069,0,BW,721.0,5615.0,721.0,0,110.7,54.83,6.51,50.72,-30.0,0.0,-0.88,0.0,-0.27
Baden-Wuerttemberg,2020-03-26,45.25,,,7283,56,BW,1214.0,6714.0,1099.0,0,110.7,65.79,10.97,60.65,56.0,0.0,13.12,0.51,0.51
Baden-Wuerttemberg,2020-03-27,47.45,,,8161,70,BW,878.0,7334.0,620.0,0,110.7,73.73,7.93,66.25,14.0,0.21,16.76,0.63,0.13
Baden-Wuerttemberg,2020-03-28,45.83,,,9781,101,BW,1620.0,8676.0,1342.0,0,110.7,88.36,14.63,78.38,31.0,0.18,21.3,0.91,0.28
Baden-Wuerttemberg,2020-03-29,40.85,,,9794,101,BW,13.0,8315.0,-361.0,0,110.7,88.48,0.12,75.12,0.0,100.0,12.4,0.91,0.0
