date,land,date,iso_code,confirmed_change,confirmed,confirmed_active_cases,confirmed_change_per_100k,confirmed_change_pct_3w,confirmed_doubling_days_3w_avg3,dead_change,dead,dead_change_per_100k,dead_doubling_days
2020-03-18,Hesse,2020-03-18,HE,,432,,,,,,0,,0.0
2020-03-19,Hesse,2020-03-19,HE,250.0,682,,3.99,,,0.0,0,0.0,0.0
2020-03-20,Hesse,2020-03-20,HE,131.0,813,,2.091,,0.0,1.0,1,0.016,0.0
2020-03-21,Hesse,2020-03-21,HE,267.0,1080,,4.261,,0.0,1.0,2,0.016,1.0
2020-03-22,Hesse,2020-03-22,HE,95.0,1175,,1.516,,0.0,0.0,2,0.0,100.0
2020-03-23,Hesse,2020-03-23,HE,172.0,1347,,2.745,,0.0,1.0,3,0.016,1.71
2020-03-24,Hesse,2020-03-24,HE,273.0,1620,,4.357,,0.0,1.0,4,0.016,2.409
2020-03-25,Hesse,2020-03-25,HE,134.0,1754,,2.139,,0.0,-4.0,0,-0.064,0.0
2020-03-26,Hesse,2020-03-26,HE,403.0,2157,,6.432,,0.0,6.0,6,0.096,0.0
2020-03-27,Hesse,2020-03-27,HE,166.0,2323,,2.649,,0.0,1.0,7,0.016,4.497
2020-03-28,Hesse,2020-03-28,HE,281.0,2604,,4.485,,0.0,2.0,9,0.032,2.758
2020-03-29,Hesse,2020-03-29,HE,1.0,2605,,0.016,,0.0,0.0,9,0.0,100.0
2020-03-30,Hesse,2020-03-30,HE,486.0,3091,2659.0,7.756,,0.0,4.0,13,0.064,1.885
2020-03-31,Hesse,2020-03-31,HE,192.0,3283,2601.0,3.064,,0.0,4.0,17,0.064,2.584
2020-04-01,Hesse,2020-04-01,HE,162.0,3445,2632.0,2.585,,0.0,4.0,21,0.064,3.28
2020-04-02,Hesse,2020-04-02,HE,262.0,3707,2627.0,4.181,,0.0,6.0,27,0.096,2.758
2020-04-03,Hesse,2020-04-03,HE,286.0,3993,2818.0,4.564,,0.0,6.0,33,0.096,3.454
2020-04-04,Hesse,2020-04-04,HE,286.0,4279,2932.0,4.564,,0.0,9.0,42,0.144,2.874
2020-04-05,Hesse,2020-04-05,HE,296.0,4575,2955.0,4.724,,0.0,14.0,56,0.223,2.409
2020-04-06,Hesse,2020-04-06,HE,99.0,4674,2920.0,1.58,,0.0,5.0,61,0.08,8.105
2020-04-07,Hesse,2020-04-07,HE,163.0,4837,2680.0,2.601,,0.0,12.0,73,0.192,3.86
2020-04-08,Hesse,2020-04-08,HE,128.0,4965,2642.0,2.043,,0.0,11.0,84,0.176,4.938
2020-04-09,Hesse,2020-04-09,HE,277.0,5242,2638.0,4.421,0.061,3.0,16.0,100,0.255,3.976
2020-04-10,Hesse,2020-04-10,HE,452.0,5694,3089.0,7.214,0.099,8.0,11.0,111,0.176,6.642
2020-04-11,Hesse,2020-04-11,HE,114.0,5808,2717.0,1.819,0.023,14.0,9.0,120,0.144,8.891
2020-04-12,Hesse,2020-04-12,HE,51.0,5859,2576.0,0.814,0.011,33.0,3.0,123,0.048,28.071
2020-04-13,Hesse,2020-04-13,HE,255.0,6114,2669.0,4.07,0.054,43.0,12.0,135,0.192,7.446
2020-04-14,Hesse,2020-04-14,HE,69.0,6183,2476.0,1.101,0.014,35.0,12.0,147,0.192,8.14
2020-04-15,Hesse,2020-04-15,HE,164.0,6347,2354.0,2.617,0.036,32.0,26.0,173,0.415,4.256
2020-04-16,Hesse,2020-04-16,HE,123.0,6470,2191.0,1.963,0.027,28.0,14.0,187,0.223,8.907
2020-04-17,Hesse,2020-04-17,HE,235.0,6705,2130.0,3.751,0.054,21.0,10.0,197,0.16,13.305
2020-04-18,Hesse,2020-04-18,HE,211.0,6916,2242.0,3.367,0.048,17.0,15.0,212,0.239,9.446
2020-04-19,Hesse,2020-04-19,HE,192.0,7108,2271.0,3.064,0.045,15.0,18.0,230,0.287,8.506
2020-04-20,Hesse,2020-04-20,HE,69.0,7177,2212.0,1.101,0.015,23.0,10.0,240,0.16,16.286
2020-04-21,Hesse,2020-04-21,HE,54.0,7231,1989.0,0.862,0.013,40.0,11.0,251,0.176,15.467
2020-04-22,Hesse,2020-04-22,HE,149.0,7380,1686.0,2.378,0.038,42.0,14.0,265,0.223,12.771
2020-04-23,Hesse,2020-04-23,HE,213.0,7593,1785.0,3.399,0.054,26.0,21.0,286,0.335,9.089
2020-04-24,Hesse,2020-04-24,HE,119.0,7712,1853.0,1.899,0.031,17.0,10.0,296,0.16,20.169
2020-04-25,Hesse,2020-04-25,HE,125.0,7837,1723.0,1.995,0.034,20.0,9.0,305,0.144,23.142
2020-04-26,Hesse,2020-04-26,HE,109.0,7946,1763.0,1.74,0.031,22.0,10.0,315,0.16,21.486
2020-04-27,Hesse,2020-04-27,HE,33.0,7979,1632.0,0.527,0.01,35.0,5.0,320,0.08,44.014
2020-04-28,Hesse,2020-04-28,HE,47.0,8026,1556.0,0.75,0.014,54.0,13.0,333,0.207,17.406
2020-04-29,Hesse,2020-04-29,HE,158.0,8184,1479.0,2.522,0.05,46.0,13.0,346,0.207,18.1
2020-04-30,Hesse,2020-04-30,HE,120.0,8304,1388.0,1.915,0.037,24.0,7.0,353,0.112,34.607
2020-05-01,Hesse,2020-05-01,HE,72.0,8376,1268.0,1.149,0.024,21.0,7.0,360,0.112,35.3
2020-05-02,Hesse,2020-05-02,HE,110.0,8486,1309.0,1.756,0.041,24.0,4.0,364,0.064,62.729
2020-05-03,Hesse,2020-05-03,HE,38.0,8524,1293.0,0.606,0.014,28.0,6.0,370,0.096,42.397
2020-05-04,Hesse,2020-05-04,HE,25.0,8549,1169.0,0.399,0.009,47.0,2.0,372,0.032,100.0
2020-05-05,Hesse,2020-05-05,HE,36.0,8585,992.0,0.575,0.015,61.0,9.0,381,0.144,28.995
2020-05-06,Hesse,2020-05-06,HE,57.0,8642,930.0,0.91,0.024,50.0,5.0,386,0.08,53.164
2020-05-07,Hesse,2020-05-07,HE,94.0,8736,899.0,1.5,0.041,31.0,10.0,396,0.16,27.101
2020-05-08,Hesse,2020-05-08,HE,114.0,8850,904.0,1.819,0.05,20.0,7.0,403,0.112,39.558
2020-05-09,Hesse,2020-05-09,HE,66.0,8916,937.0,1.053,0.031,17.0,5.0,408,0.08,56.214
2020-05-10,Hesse,2020-05-10,HE,82.0,8998,972.0,1.309,0.041,19.0,3.0,411,0.048,94.614
2020-05-11,Hesse,2020-05-11,HE,14.0,9012,828.0,0.223,0.007,38.0,1.0,412,0.016,100.0
2020-05-12,Hesse,2020-05-12,HE,19.0,9031,727.0,0.303,0.01,68.0,3.0,415,0.048,95.538
2020-05-13,Hesse,2020-05-13,HE,56.0,9087,711.0,0.894,0.031,63.0,4.0,419,0.064,72.26
2020-05-14,Hesse,2020-05-14,HE,82.0,9169,683.0,1.309,0.048,32.0,4.0,423,0.064,72.953
2020-05-15,Hesse,2020-05-15,HE,35.0,9204,680.0,0.559,0.022,21.0,6.0,429,0.096,49.213
2020-05-16,Hesse,2020-05-16,HE,57.0,9261,712.0,0.91,0.038,24.0,3.0,432,0.048,99.466
2020-05-17,Hesse,2020-05-17,HE,56.0,9317,732.0,0.894,0.039,22.0,3.0,435,0.048,100.0
2020-03-18,Schleswig-Holstein,2020-03-18,SH,,159,,,,,,0,,0.0
2020-03-19,Schleswig-Holstein,2020-03-19,SH,43.0,202,,1.484,,,0.0,0,0.0,0.0
2020-03-20,Schleswig-Holstein,2020-03-20,SH,64.0,266,,2.209,,0.0,1.0,1,0.035,0.0
2020-03-21,Schleswig-Holstein,2020-03-21,SH,42.0,308,,1.45,,0.0,0.0,1,0.0,100.0
2020-03-22,Schleswig-Holstein,2020-03-22,SH,39.0,347,,1.346,,0.0,0.0,1,0.0,100.0
2020-03-23,Schleswig-Holstein,2020-03-23,SH,36.0,383,,1.243,,0.0,0.0,1,0.0,100.0
2020-03-24,Schleswig-Holstein,2020-03-24,SH,95.0,478,,3.28,,0.0,1.0,2,0.035,1.0
2020-03-25,Schleswig-Holstein,2020-03-25,SH,99.0,577,,3.418,,0.0,-2.0,0,-0.069,0.0
2020-03-26,Schleswig-Holstein,2020-03-26,SH,98.0,675,,3.383,,0.0,3.0,3,0.104,0.0
2020-03-27,Schleswig-Holstein,2020-03-27,SH,137.0,812,,4.73,,0.0,1.0,4,0.035,2.409
2020-03-28,Schleswig-Holstein,2020-03-28,SH,103.0,915,,3.556,,0.0,0.0,4,0.0,100.0
2020-03-29,Schleswig-Holstein,2020-03-29,SH,90.0,1005,,3.107,,0.0,2.0,6,0.069,1.71
2020-03-30,Schleswig-Holstein,2020-03-30,SH,44.0,1049,890.0,1.519,,0.0,1.0,7,0.035,4.497
2020-03-31,Schleswig-Holstein,2020-03-31,SH,71.0,1120,918.0,2.451,,0.0,2.0,9,0.069,2.758
2020-04-01,Schleswig-Holstein,2020-04-01,SH,126.0,1246,980.0,4.35,,0.0,1.0,10,0.035,6.579
2020-04-02,Schleswig-Holstein,2020-04-02,SH,89.0,1335,1027.0,3.072,,0.0,1.0,11,0.035,7.272
2020-04-03,Schleswig-Holstein,2020-04-03,SH,108.0,1443,1096.0,3.728,,0.0,4.0,15,0.138,2.235
2020-04-04,Schleswig-Holstein,2020-04-04,SH,116.0,1559,1176.0,4.005,,0.0,2.0,17,0.069,5.538
2020-04-05,Schleswig-Holstein,2020-04-05,SH,72.0,1631,1153.0,2.486,,0.0,1.0,18,0.035,12.127
2020-04-06,Schleswig-Holstein,2020-04-06,SH,40.0,1671,1094.0,1.381,,0.0,2.0,20,0.069,6.579
2020-04-07,Schleswig-Holstein,2020-04-07,SH,59.0,1730,1055.0,2.037,,0.0,4.0,24,0.138,3.802
2020-04-08,Schleswig-Holstein,2020-04-08,SH,97.0,1827,1015.0,3.349,,0.0,4.0,28,0.138,4.497
2020-04-09,Schleswig-Holstein,2020-04-09,SH,105.0,1932,1017.0,3.625,0.063,3.0,6.0,34,0.207,3.57
2020-04-10,Schleswig-Holstein,2020-04-10,SH,97.0,2029,1024.0,3.349,0.056,9.0,4.0,38,0.138,6.232
2020-04-11,Schleswig-Holstein,2020-04-11,SH,36.0,2065,1016.0,1.243,0.02,18.0,1.0,39,0.035,26.685
